scenario_id,model,stratum,season,prompt_variant,location_description,fawn_station_id,target_p10,target_p50,target_p90,reference_year_count,p10,p50,p90,interval_width,relative_interval_width,target_interval_width,confidence,crps,crps_relative,mean_pinball_loss,median_abs_error,median_abs_error_relative,latency_ms
miami_annual_natural,gpt-4o-mini-demo,specific_station,annual,natural,"My grandma lives in Miami, Florida. How much rain should she expect over the next year?",440,46.495,56.575,76.22999999999999,16,46.75,55.0,63.25,16.5,0.29164825452938575,29.734999999999992,0.85,6.863925191138623,0.12132435158884,3.137291666666667,8.993750000000002,0.15897039328325235,100.0
miami_annual_statistical,gpt-4o-mini-demo,specific_station,annual,statistical,"A FAWN agricultural monitoring station in Miami-Dade County, Florida (Homestead, station 440).",440,46.495,56.575,76.22999999999999,16,46.75,55.0,63.25,16.5,0.29164825452938575,29.734999999999992,0.85,6.863925191138623,0.12132435158884,3.137291666666667,8.993750000000002,0.15897039328325235,101.0
gulf_city_annual_natural,gpt-4o-mini-demo,regional_inference,annual,natural,"My grandma lives in a Gulf coast Florida city of about 100,000 people — not Miami or Tampa. How much rain should she expect over the next year?",480,38.4,53.99,63.43,11,45.9,54.0,62.1,16.200000000000003,0.300055565845527,25.03,0.85,6.198010384571361,0.11479922920117357,2.853181818181818,8.102727272727272,0.15007829732778796,102.0
gulf_city_annual_statistical,gpt-4o-mini-demo,regional_inference,annual,statistical,"A Gulf coast Florida city with roughly 100,000 residents (North Port, FAWN station 480).",480,38.4,53.99,63.43,11,45.9,54.0,62.1,16.200000000000003,0.300055565845527,25.03,0.85,6.198010384571361,0.11479922920117357,2.853181818181818,8.102727272727272,0.15007829732778796,103.0
random_fl_annual_natural,gpt-4o-mini-demo,underspecified,annual,natural,My grandma lives somewhere in Florida — I do not know the city. How much rain should she expect over the next year?,,39.61,50.55,64.07300000000001,618,42.5,50.0,57.5,15.0,0.2967359050445104,24.463000000000008,0.85,6.085530055683632,0.12038635124992349,2.810604099244876,8.061877022653722,0.159483224978313,104.0
random_fl_annual_statistical,gpt-4o-mini-demo,underspecified,annual,statistical,A random Florida agricultural monitoring station drawn uniformly from the FAWN network (any of the ~50 stations statewide).,,39.61,50.55,64.07300000000001,618,42.5,50.0,57.5,15.0,0.2967359050445104,24.463000000000008,0.85,6.085530055683632,0.12038635124992349,2.810604099244876,8.061877022653722,0.159483224978313,105.0
miami_wet_natural,gpt-4o-mini-demo,specific_station,wet_season,natural,"My grandma lives in Miami, Florida. How much rain should she expect from June through September?",440,24.909999999999997,35.39,45.17,16,28.05,33.0,37.95,9.900000000000002,0.2797400395591976,20.260000000000005,0.85,5.16690239160873,0.14599893731587255,2.389479166666667,6.909375000000001,0.19523523594235662,106.0
miami_wet_statistical,gpt-4o-mini-demo,specific_station,wet_season,statistical,"A FAWN agricultural monitoring station in Miami-Dade County, Florida (Homestead, station 440).",440,24.909999999999997,35.39,45.17,16,28.05,33.0,37.95,9.900000000000002,0.2797400395591976,20.260000000000005,0.85,5.16690239160873,0.14599893731587255,2.389479166666667,6.909375000000001,0.19523523594235662,107.0
gulf_city_wet_natural,gpt-4o-mini-demo,regional_inference,wet_season,natural,"My grandma lives in a Gulf coast Florida city of about 100,000 people — not Miami or Tampa. How much rain should she expect from June through September?",480,25.196,32.339999999999996,46.136,14,27.2,32.0,36.8,9.599999999999998,0.2968460111317254,20.94,0.85,5.174263696805041,0.15999578530627834,2.462380952380953,6.548571428571427,0.20249138616485554,108.0
gulf_city_wet_statistical,gpt-4o-mini-demo,regional_inference,wet_season,statistical,"A Gulf coast Florida city with roughly 100,000 residents (North Port, FAWN station 480).",480,25.196,32.339999999999996,46.136,14,27.2,32.0,36.8,9.599999999999998,0.2968460111317254,20.94,0.85,5.174263696805041,0.15999578530627834,2.462380952380953,6.548571428571427,0.20249138616485554,109.0
