model,stratum,season,crps,crps_relative,mean_pinball_loss,interval_width,relative_interval_width,n
gpt-4o,regional_inference,annual,6.139277756465402,0.11371138648759774,2.663484848484848,25.0,0.4630487127245786,2
gpt-4o,regional_inference,dry_season,2.4090939559219233,0.5323964543473862,1.0870833333333332,6.25,1.3812154696132595,2
gpt-4o,regional_inference,wet_season,6.855299883017529,0.21197587764432685,2.9903571428571425,30.0,0.927643784786642,2
gpt-4o,specific_station,annual,6.460523017703384,0.11419395524000678,2.7608333333333333,30.0,0.5302695536897923,2
gpt-4o,specific_station,dry_season,2.4486678236273223,0.45684101187076914,1.1175,6.25,1.1660447761194033,2
gpt-4o,specific_station,wet_season,7.507387900543716,0.21213302911963028,3.2528125,30.0,0.8476970895733258,2
gpt-4o,underspecified,annual,6.31079524862315,0.1248426359767191,2.7902319309600863,30.0,0.5934718100890208,2
gpt-4o,underspecified,dry_season,2.4741702329627975,0.3780244817361036,1.1266005873715126,7.0,1.0695187165775402,2
gpt-4o,underspecified,wet_season,9.20087724757015,0.3179843527758821,4.067628205128205,30.0,1.0368066355624674,2
gpt-4o-mini,regional_inference,annual,6.100892571915744,0.11300041807586116,2.569242424242424,30.0,0.5556584552694943,2
gpt-4o-mini,regional_inference,dry_season,2.9202965158320433,0.6453693957639874,1.3141666666666667,7.5,1.6574585635359114,2
gpt-4o-mini,regional_inference,wet_season,5.134171642431424,0.15875608047097786,2.2065476190476185,30.0,0.927643784786642,2
gpt-4o-mini,specific_station,annual,6.683581980187029,0.11813666778943047,2.9273958333333336,35.0,0.618647812638091,2
gpt-4o-mini,specific_station,dry_season,2.510986982674792,0.4684677206482821,1.1733333333333333,5.25,0.9794776119402986,2
gpt-4o-mini,specific_station,wet_season,6.8536914063553365,0.19366180860003776,3.088541666666667,30.0,0.8476970895733258,2
gpt-4o-mini,underspecified,annual,6.31079524862315,0.1248426359767191,2.7902319309600863,30.0,0.5934718100890208,2
gpt-4o-mini,underspecified,dry_season,2.848666895756259,0.4352432231865942,1.298245227606461,7.5,1.1459129106187929,2
gpt-4o-mini,underspecified,wet_season,4.8402440477009385,0.16727990487993566,2.1442254273504275,25.0,0.8640055296353896,2
