scenario_id,model,stratum,season,prompt_variant,location_description,fawn_station_id,target_p10,target_p50,target_p90,reference_year_count,p10,p50,p90,interval_width,relative_interval_width,target_interval_width,confidence,crps,crps_relative,mean_pinball_loss,median_abs_error,median_abs_error_relative,latency_ms
miami_annual_natural,claude-haiku-4-5,specific_station,annual,natural,"My grandma lives in Miami, Florida. How much rain should she expect over the next year?",440,46.495,56.575,76.22999999999999,16,45.0,62.0,78.0,33.0,0.5832965090587715,29.734999999999992,0.85,6.695650330424806,0.11834998374590908,2.8575,9.89,0.17481219619973487,2079.6402000123635
miami_annual_statistical,claude-haiku-4-5,specific_station,annual,statistical,"A FAWN agricultural monitoring station in Miami-Dade County, Florida (Homestead, station 440).",440,46.495,56.575,76.22999999999999,16,45.0,62.0,82.0,37.0,0.6539991162174105,29.734999999999992,0.78,6.880839029656591,0.12162331470891014,2.9408333333333334,9.89,0.17481219619973487,2091.8605999904685
gulf_city_annual_natural,claude-haiku-4-5,regional_inference,annual,natural,"My grandma lives in a Gulf coast Florida city of about 100,000 people — not Miami or Tampa. How much rain should she expect over the next year?",480,38.4,53.99,63.43,11,45.0,55.0,68.0,23.0,0.4260048157066123,25.03,0.78,6.294127311119161,0.11657950196553363,2.806212121212121,8.193636363636363,0.1517621108286046,2117.155299987644
gulf_city_annual_statistical,claude-haiku-4-5,regional_inference,annual,statistical,"A Gulf coast Florida city with roughly 100,000 residents (North Port, FAWN station 480).",480,38.4,53.99,63.43,11,45.0,54.0,65.0,20.0,0.3704389701796629,25.03,0.78,6.125926524126839,0.1134640956496914,2.7425757575757577,8.102727272727272,0.15007829732778796,3953.054499987047
random_fl_annual_natural,claude-haiku-4-5,underspecified,annual,natural,My grandma lives somewhere in Florida — I do not know the city. How much rain should she expect over the next year?,,39.61,50.55,64.07300000000001,618,45.0,54.0,65.0,20.0,0.39564787339268054,24.463000000000008,0.75,6.233893239777665,0.12332133016375205,2.8240507011866236,8.567216828478964,0.16948005595408436,1808.6154999909922
random_fl_annual_statistical,claude-haiku-4-5,underspecified,annual,statistical,A random Florida agricultural monitoring station drawn uniformly from the FAWN network (any of the ~50 stations statewide).,,39.61,50.55,64.07300000000001,618,45.0,54.0,65.0,20.0,0.39564787339268054,24.463000000000008,0.78,6.233893239777665,0.12332133016375205,2.8240507011866236,8.567216828478964,0.16948005595408436,2219.5052999886684
miami_wet_natural,claude-haiku-4-5,specific_station,wet_season,natural,"My grandma lives in Miami, Florida. How much rain should she expect from June through September?",440,24.909999999999997,35.39,45.17,16,28.0,38.0,50.0,22.0,0.6216445323537723,20.260000000000005,0.82,5.097603902891747,0.144040799742632,2.1942708333333334,7.001875000000001,0.1978489686352077,2169.228299986571
miami_wet_statistical,claude-haiku-4-5,specific_station,wet_season,statistical,"A FAWN agricultural monitoring station in Miami-Dade County, Florida (Homestead, station 440).",440,24.909999999999997,35.39,45.17,16,18.5,28.0,38.5,20.0,0.5651313930488838,20.260000000000005,0.78,5.989210590642731,0.16923454621765274,2.6653125,8.389375000000001,0.23705495902797402,1942.0785999973305
gulf_city_wet_natural,claude-haiku-4-5,regional_inference,wet_season,natural,"My grandma lives in a Gulf coast Florida city of about 100,000 people — not Miami or Tampa. How much rain should she expect from June through September?",480,25.196,32.339999999999996,46.136,14,35.0,50.0,68.0,33.0,1.0204081632653061,20.94,0.82,11.339210486803847,0.35062493774903675,5.038809523809524,15.872857142857143,0.49081190917925616,1897.6350000011735
gulf_city_wet_statistical,claude-haiku-4-5,regional_inference,wet_season,statistical,"A Gulf coast Florida city with roughly 100,000 residents (North Port, FAWN station 480).",480,25.196,32.339999999999996,46.136,14,18.5,28.0,38.5,20.0,0.6184291898577614,20.94,0.78,5.692884811692919,0.17603230710244033,2.6340476190476187,7.88,0.24366110080395798,2382.5986000010744
